회사명,주요제품,비고,종목코드,국적,상장유형,증권구분,상장일,철회일,상장주선인/지정자문인,업종,액면가 (원),공모가 (원),공모금액 (천원),최초상장주식수 (주),유통가능주식수(주),유통비율,공모주식수,신주모집수량,구주매출수량,신주비중,구주비중,인수수수료,수수료율,수요예측 경쟁률,일반청약 경쟁률,기관투자자 참여건수,기관투자자 참여건수(국내),기관투자자 참여건수(해외),일반청약자 청약건수,의무보유 확약,청약증거금(백만원),수요예측일(시작),수요예측일(마감),청약일(시작),청약일(마감),납입일,희망공모가하단(원),희망공모가상단(원),결정 수준,주당평가가액(원),할인율(하단),할인율(상단),상장요건,평가등급(상위),평가등급(하위),가치평가방법,증권신고서 상 멀티플
~,,NEW_자동추가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오가닉티코스메틱,"유아용 화장품(클렌징, 여름용, 피부케어, 기능성 화장품)",,900300,홍콩,신규상장,외국주권,2016-11-04,,유진투자증권(주),회사 본부 및 경영 컨설팅 서비스업,무액면,"4,000","57,200,000","56,925,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
로고스바이오,"자동세포카운팅시스템, 생체조직투명화시스템, 디지털세포이미징시스템",,238120,대한민국,신규상장,주권,2016-11-03,,신한투자증권 주식회사,사진장비 및 광학기기 제조업,500,"25,500","18,056,448","3,561,724",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
IBKS지엠비스팩,기업인수 및 합병,,252500,대한민국,신규상장,주권,2016-11-02,,IBK투자증권(주),금융 지원 서비스업,100,"2,000","10,000,000","5,315,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
인크로스,미디어렙서비스,,216050,대한민국,신규상장,주권,2016-10-31,,신한투자증권 주식회사,광고업,500,"43,000","20,274,500","2,939,035",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
굿센,"건설ERP, 공공클라우드",,243870,대한민국,신규상장,주권,2016-10-31,,하나증권(주),"컴퓨터 프로그래밍, 시스템 통합 및 관리업",500,-,-,"1,345,951",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
에이치엘사이언스,건강기능식품 등,,239610,대한민국,신규상장,주권,2016-10-28,,"미래에셋증권 주식회사,케이비투자증권(주)",도시락 및 식사용 조리식품 제조업,500,"27,000","40,800,375","5,142,148",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
코스메카코리아,"화장품 OEM, ODM",,241710,대한민국,신규상장,주권,2016-10-28,,삼성증권(주),기타 화학제품 제조업,500,"54,000","72,360,000","5,340,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
JW생명과학,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",,234080,대한민국,신규상장,주권,2016-10-27,,케이비투자증권(주),의약품 제조업,"5,000","30,000","72,000,000","7,917,277",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
안지오랩,신약개발 및 체지방 감소 건강기능식품,,251280,대한민국,신규상장,주권,2016-10-25,,대신증권(주),자연과학 및 공학 연구개발업,500,-,-,"1,805,914",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
GRT,"광학필름, 포장필름",,900290,홍콩,신규상장,외국주권,2016-10-25,,엔에이치투자증권(주),회사 본부 및 경영 컨설팅 서비스업,무액면,"5,000","86,875,000","67,375,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
골든센츄리,트랙터용 휠 및 타이어,,900280,케이맨 제도,신규상장,외국주권,2016-10-19,,유안타증권(주),회사 본부 및 경영 컨설팅 서비스업,0.2,"3,500","27,666,664","29,800,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
인텔리안테크,"해상용 위성통신 안테나, 해상용 위성방송 수신안테나",,189300,대한민국,신규상장,주권,2016-10-18,,한국투자증권(주),통신 및 방송 장비 제조업,500,"19,000","27,550,000","7,165,110",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에이치시티,기술검사서비스,,072990,대한민국,신규상장,주권,2016-10-17,,미래에셋증권 주식회사,기타 과학기술 서비스업,500,"17,000","19,319,820","4,579,934",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
잉글우드랩,기초화장품(화장품 제조),,950140,미국,신규상장,주식예탁증권,2016-10-14,,하나증권주식회사,회사 본부 및 경영 컨설팅 서비스업,0.25,"6,000","25,200,000","17,366,154",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
앤디포스,"TSP용 양면 테이프, 윈도우 필름",,238090,대한민국,신규상장,주권,2016-10-12,,미래에셋증권 주식회사,플라스틱제품 제조업,500,"14,500","60,900,000","15,068,965",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
수산아이앤티,"공유단말접속관리서비스, 보안솔루션 등",,050960,대한민국,신규상장,주권,2016-10-11,,삼성증권(주),소프트웨어 개발 및 공급업,500,"11,500","19,550,000","6,751,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
미투온,소셜 카지노 게임,,201490,대한민국,신규상장,주권,2016-10-10,,미래에셋증권(주),소프트웨어 개발 및 공급업,500,"3,800","27,210,690","29,961,122",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
화승엔터프라이즈,,,241590,대한민국,신규상장,주권,2016-10-04,,한국투자증권(주),회사 본부 및 경영 컨설팅 서비스업,500,"15,000","117,600,000","26,929,479",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에스엠로보틱스,스크린승마시뮬레이터,,252940,대한민국,신규상장,주권,2016-09-30,,KB증권(주),"인형,장난감 및 오락용품 제조업",500,-,-,"2,075,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
케이비제10호스팩,기업인수합병,,250930,대한민국,신규상장,주권,2016-09-29,,케이비투자증권(주),금융 지원 서비스업,100,"2,000","10,000,000","5,210,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
유쎌,바이오셀룰로오스 마스크팩,,252370,대한민국,신규상장,주권,2016-09-29,,해당없음,기타 화학제품 제조업,500,-,-,"1,200,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
모두투어리츠,"호텔 부동산 취득, 관리, 개량 및 처분",,204210,대한민국,신규상장,부동산투자회사,2016-09-22,,교보증권(주),부동산 임대 및 공급업,"5,000","6,000","14,100,000","7,826,815",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
엘에스전선 아시아,,,229640,대한민국,신규상장,주권,2016-09-22,,"한국투자증권(주),하나증권주식회사",회사 본부 및 경영 컨설팅 서비스업,500,"8,000","80,960,904","30,624,879",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
유니테크노,자동차 엔진파워트레인/모터 부품 제조 및 조립,,241690,대한민국,신규상장,주권,2016-09-20,,한국투자증권(주),자동차 신품 부품 제조업,500,"10,300","15,450,000","5,963,760",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
하나금융8호스팩,기업인수합병,,250060,대한민국,신규상장,주권,2016-09-08,,하나증권주식회사,금융 지원 서비스업,100,"2,000","12,000,000","6,402,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
엠에프엠코리아,"남녀 및 유아용의 외의, 내의 및 기타 의복",,251960,대한민국,신규상장,주권,2016-09-08,,한화투자증권(주),편조의복 제조업,"5,000",-,-,"600,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
교보비엔케이스팩,기업인수합병,,242040,대한민국,신규상장,주권,2016-09-07,,"교보증권(주),(주)비엔케이투자증권",금융 지원 서비스업,100,"2,000","12,000,000","7,110,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
자이글,적외선 가열 조리기,,234920,대한민국,신규상장,주권,2016-09-06,,"케이비투자증권(주),하나증권주식회사",가정용 기기 제조업,500,"11,000","49,280,000","13,530,910",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
일동제약,"아로나민, 후루마린, 큐란, 라비에트, 사미온 등",,249420,대한민국,재상장,주권,2016-08-31,,엔에이치투자증권(주),의약품 제조업,"1,000",-,-,"17,845,253",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
헝셩그룹,자회사 제품 : 아동용 완구 및 아동복 등,,900270,홍콩,신규상장,외국주권,2016-08-18,,신한투자증권 주식회사,회사 본부 및 경영 컨설팅 서비스업,무액면,"3,600","72,000,000","80,000,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
피엔에이치테크,"OLED완성체, OLED중간체, Pd촉매",,239890,대한민국,신규상장,주권,2016-08-16,,한국투자증권(주),기초 화학물질 제조업,500,-,-,"2,000,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
제이에스피브이,태양광모듈제조,,250300,대한민국,신규상장,주권,2016-08-10,,해당없음,기타 전기장비 제조업,100,-,-,"23,121,707",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
샘표식품,간장,,248170,대한민국,재상장,주권,2016-08-09,,미래에셋증권 주식회사,도시락 및 식사용 조리식품 제조업,500,-,-,"4,568,286",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
에코마케팅,"온라인, 모바일 광고 종합대행업",,230360,대한민국,신규상장,주권,2016-08-08,,한국투자증권(주),광고업,100,"35,000","38,500,000","8,128,571",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
티케이씨,"전장 PCB( 오디오, 정션박스 등)",,191600,대한민국,신규상장,주권,2016-08-05,,신한투자증권(주),전자부품 제조업,500,-,-,"2,600,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
팍스넷,"금융솔루션, 증권정보, 광고",,038160,대한민국,신규상장,주권,2016-08-01,,한국투자증권(주),기타 정보 서비스업,500,"5,200","14,389,800","11,077,521",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
두올　　　　　　,시트 커버 및 시트 원단,,016740,대한민국,신규상장,주권,2016-07-29,,미래에셋증권(주),자동차 신품 부품 제조업,"2,500","8,500","62,050,000","17,755,500",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
링크제니시스,"소프트웨어 테스트 및 생산정보 자동화 (MAT, XCOM, XGEM)",,219420,대한민국,신규상장,주권,2016-07-29,,하나증권(주),소프트웨어 개발 및 공급업,100,-,-,"2,027,300",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
엔지스테크널러지,"Nav-Link 솔루션, BringGo 어플리케이션 등",,208860,대한민국,신규상장,주권,2016-07-28,,교보증권(주),소프트웨어 개발 및 공급업,500,"10,000","4,670,000","3,127,180",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
우리손에프앤지,"양돈업, 도축업",,073560,대한민국,신규상장,주권,2016-07-27,,미래에셋증권 주식회사,축산업,500,"2,210","40,247,481","61,157,490",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
디오메디칼,척추용 임플란트 등,,212310,대한민국,신규상장,주권,2016-07-26,,신한투자증권(주),의료용 기기 제조업,500,-,-,"2,015,340",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
에스케이씨에스,,,224020,대한민국,신규상장,주권,2016-07-25,,해당없음(기술특례상장),플라스틱제품 제조업,500,-,-,"2,700,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
옵토팩,이미지센서 패키징,,123010,대한민국,이전상장,주권,2016-07-20,,IBK투자증권(주),전자부품 제조업,500,"5,900","4,130,000","4,429,352",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
지노믹트리,암 분자진단 제품/ 유전체분석,,228760,대한민국,신규상장,주권,2016-07-19,,키움증권(주),자연과학 및 공학 연구개발업,500,-,-,"2,185,140",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
제노텍,"원료의약품, 합성유전자, 체외진단 분석기용 시약",,066830,대한민국,신규상장,주권,2016-07-18,,미래에셋증권(주),기초 의약물질 제조업,500,-,-,"4,930,286",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
동서,"식품 유통, 다류 및 연포장재 제조 등",,026960,대한민국,이전상장,주권,2016-07-15,,신한투자증권 주식회사,음·식료품 및 담배 도매업,500,-,-,"99,700,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
장원테크,스마트폰 및 태블릿PC Bracket,,174880,대한민국,신규상장,주권,2016-07-15,,신한투자증권 주식회사,통신 및 방송 장비 제조업,500,"17,500","26,250,000","6,045,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
대유위니아,"김치냉장고(스탠드형, 뚜껑형), 에어컨, 프리미엄 냉장고 등",,071460,대한민국,신규상장,주권,2016-07-14,,신영증권(주),가정용 기기 제조업,500,"6,800","51,000,000","24,111,530",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
한국자산신탁,"부동산 신탁 서비스, REITs",,123890,대한민국,신규상장,주권,2016-07-13,,"신한투자증권 주식회사,대신증권(주)",기타 금융업,500,"10,300","281,162,654","85,000,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
시냅스엠,"OVP서비스, UGC서비스, OTT서비스",,246830,대한민국,신규상장,주권,2016-07-13,,엔에이치투자증권(주),"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",500,-,-,"1,311,610",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
한국토지신탁,부동산신탁 등,,034830,대한민국,이전상장,주권,2016-07-11,,유안타증권(주),기타 금융업,"1,000",-,-,"252,489,230",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
인프라웨어테크놀러지,"플랫폼, 보안솔루션",,247300,대한민국,신규상장,주권,2016-07-08,,키움증권(주),소프트웨어 개발 및 공급업,"5,000",-,-,"408,430",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
바이오리더스,"자궁경부상피이형증 치료제, 자궁경부전암 치료백신",,142760,대한민국,이전상장,주권,2016-07-07,,키움증권(주),자연과학 및 공학 연구개발업,500,"15,000","18,000,000","12,354,310",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
피앤씨테크,배전자동화단말장치,,237750,대한민국,신규상장,주권,2016-07-04,,케이비투자증권(주),"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",500,"10,200","27,030,000","6,496,600",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
로스웰,"CAN Control Gateway, CAN기능모듈, BCM 차체제어모듈",,900260,홍콩,신규상장,외국주권,2016-06-30,,신한투자증권 주식회사,회사 본부 및 경영 컨설팅 서비스업,무액면,"3,200","96,000,000","90,781,250",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에스엘에스,"의약품 품질검사, 생동성 시험 등",,246250,대한민국,신규상장,주권,2016-06-29,,하나증권(주),기타 과학기술 서비스업,500,-,-,"5,812,103",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
해성디에스,반도체 패키지용 Substrate,,195870,대한민국,신규상장,주권,2016-06-24,,엔에이치투자증권(주),전자부품 제조업,"5,000","12,000","48,000,000","17,000,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
씨앤에스링크,"내비게이션, LTE Router, 블랙박스",,245450,대한민국,신규상장,주권,2016-06-24,,주식회사 아이엠증권,통신 및 방송 장비 제조업,500,-,-,"1,039,960",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
녹십자랩셀,"세포치료제, 검체검사서비스, 제대혈은행",,144510,대한민국,신규상장,주권,2016-06-23,,"하나증권주식회사,케이프투자증권주식회사","그외 기타 전문, 과학 및 기술 서비스업",500,"18,500","37,000,000","10,554,054",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에스티팜,원료의약품,,237690,대한민국,신규상장,주권,2016-06-23,,"한국투자증권(주),유진투자증권(주)",의약품 제조업,500,"29,000","135,256,000","18,484,400",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
알엔투테크놀로지,"이동통신부품(커플러), 의료기기용기판, 파우더",,148250,대한민국,이전상장,주권,2016-06-22,,하나증권주식회사,전자부품 제조업,500,"5,800","3,886,000","6,328,942",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
이비테크,전자가속기 제조 및 전자선조사서비스,,208850,대한민국,신규상장,주권,2016-06-22,,아이비케이투자증권(주),기타 전기장비 제조업,"1,000",-,-,"2,256,250",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
한국4호스팩,기업인수합병,,240540,대한민국,신규상장,주권,2016-06-22,,한국투자증권(주),금융 지원 서비스업,100,"2,000","10,000,000","5,500,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
줌인터넷,"줌닷컴, 이글루스, 스윙브라우저 등",,229480,대한민국,신규상장,주권,2016-06-10,,(주)상상인증권,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",500,-,-,"10,344,680",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
미래에셋제5호스팩,기업인수합병,,239340,대한민국,신규상장,주권,2016-06-09,,미래에셋증권(주),금융 지원 서비스업,100,"2,000","9,000,000","4,800,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
휴온스,"전문의약품, 일반의약품",,243070,대한민국,재상장,주권,2016-06-03,,한국투자증권(주),의약품 제조업,500,-,-,"5,895,464",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
스페이스솔루션,엔지니어링 솔루션(CAD/CAM/CAE/PLM/DM) 및 자수기제어기,,245030,대한민국,신규상장,주권,2016-06-03,,아이비케이투자증권(주),소프트웨어 개발 및 공급업,500,-,-,"1,120,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
나눔테크,"자동심장충격기, 골밀도진단기",,244880,대한민국,신규상장,주권,2016-06-01,,유진투자증권(주),의료용 기기 제조업,500,-,-,"4,000,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
KC산업,철강보강콘크리트제품,,112190,대한민국,신규상장,주권,2016-05-31,,주식회사 아이엠증권,"시멘트, 석회, 플라스터 및 그 제품 제조업",500,-,-,"5,000,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
용평리조트,"리조트 운영, 콘도 분양",,070960,대한민국,신규상장,주권,2016-05-27,,미래에셋증권 주식회사,일반 및 생활 숙박시설 운영업,"5,000","7,000","93,632,000","48,133,333",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
영현무역,의류(봉제),,242850,대한민국,신규상장,주권,2016-05-20,,해당없음,상품 중개업,500,-,-,"1,620,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
본느,"ODM화장품, BRAND화장품",,242420,대한민국,신규상장,주권,2016-05-16,,현대차증권(주),기타 화학제품 제조업,500,-,-,"2,550,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
해태제과식품,"홈런볼, 오예스, 맛동산, 부라보콘 등",,101530,대한민국,신규상장,주권,2016-05-11,,"엔에이치투자증권(주),삼성증권(주)",도시락 및 식사용 조리식품 제조업,500,"15,100","88,033,000","19,209,740",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
오스테오닉,"의료용 스크류, 플레이트",,226400,대한민국,신규상장,주권,2016-05-04,,키움증권(주),의료용 기기 제조업,500,-,-,"4,738,011",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
원익IPS,반도체 제조용 기계,,240810,대한민국,재상장,주권,2016-05-02,,엔에이치투자증권(주),특수 목적용 기계 제조업,500,-,-,"41,273,436",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
엠로,구매 SCM솔루션,,058970,대한민국,신규상장,주권,2016-04-28,,한국투자증권(주),소프트웨어 개발 및 공급업,500,-,-,"4,815,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
이에스산업,전동공구,,241510,대한민국,신규상장,주권,2016-04-26,,해당없음,일반 목적용 기계 제조업,500,-,-,"4,460,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
인터코스,"스킨로션, 기능성제품류, 헤어제품류, 의약외품 등(화장품 ODM)",,240340,대한민국,신규상장,주권,2016-04-21,,KB증권(주),기타 화학제품 제조업,500,-,-,"3,137,200",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
로보쓰리,"모듈, 퍼스널 모빌리티기기",,238500,대한민국,신규상장,주권,2016-04-20,,주식회사 아이엠증권,"그외 기타 전문, 과학 및 기술 서비스업",500,-,-,"4,228,166",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
레이언스,"TFT Detector, CMOS Detector, I/O Sensor",,228850,대한민국,신규상장,주권,2016-04-11,,대신증권(주),의료용 기기 제조업,500,"25,000","100,000,000","16,591,014",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
씨엠에스에듀,융합사고력 프로그램,,225330,대한민국,신규상장,주권,2016-04-07,,"유안타증권(주),삼성증권(주)",일반 교습 학원,500,"23,200","28,768,000","4,205,350",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
동양파일,PHC파일,,228340,대한민국,신규상장,주권,2016-04-06,,대신증권(주),"시멘트, 석회, 플라스터 및 그 제품 제조업",500,"10,000","80,000,000","20,000,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
대림씨엔에스,"PHC파일, 골재, 강교제작",,004440,대한민국,신규상장,주권,2016-03-30,,미래에셋증권 주식회사,"시멘트, 석회, 플라스터 및 그 제품 제조업","1,000","27,700","123,436,214","12,731,947",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
SGA시스템즈,공공 및 교육기관 시스템통합(SI) 및 유지보수,,232290,대한민국,신규상장,주권,2016-03-30,,SK증권(주),소프트웨어 개발 및 공급업,500,-,-,"6,014,763",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
씨케이컴퍼니,우유눈꽃빙수기,,235090,대한민국,신규상장,주권,2016-03-16,,(주)상상인증권,특수 목적용 기계 제조업,500,-,-,"2,940,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
팬젠,"바이오시밀러 제품, 바이오의약품 개발 기술이전 서비스 등",,222110,대한민국,신규상장,주권,2016-03-11,,한국투자증권(주),의약품 제조업,500,"16,500","27,225,000","7,681,318",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
바이옵트로,"PCB 전기 검사기, Screw 자동 체결기",,222160,대한민국,신규상장,주권,2016-03-10,,한국투자증권(주),"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",500,-,-,"4,960,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
AP위성통신,위성통신 단말기,,211270,대한민국,신규상장,주권,2016-03-04,,KB증권(주),통신 및 방송 장비 제조업,500,"9,700","31,602,600","13,097,740",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
하이에이아이1호스팩,기업 인수 및 합병,,235010,대한민국,신규상장,주권,2016-03-04,,iM증권,금융 지원 서비스업,100,"2,000","9,200,000","4,950,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
IBKS제4호스팩,기업인수 및 합병,,230980,대한민국,신규상장,주권,2016-03-02,,IBK투자증권(주),금융 지원 서비스업,100,"2,000","3,500,000","2,000,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
큐리언트,저분자 혁신신약,,115180,대한민국,신규상장,주권,2016-02-29,,한국투자증권(주),자연과학 및 공학 연구개발업,500,"21,000","32,508,000","7,227,262",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
케이비제9호스팩,,,232270,대한민국,신규상장,주권,2016-02-29,,케이비투자증권(주),금융 지원 서비스업,100,"2,000","27,000,000","13,815,700",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
케이엠제약,구강위생용품 및 화장품,,237720,대한민국,신규상장,주권,2016-02-24,,아이비케이투자증권(주),기타 화학제품 제조업,100,-,-,"2,022,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
안트로젠,줄기세포치료제,,065660,대한민국,신규상장,주권,2016-02-15,,키움증권(주),기초 의약물질 제조업,500,"24,000","16,800,000","7,463,435",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
슈프리마,바이오인식 관련 제품,,236200,대한민국,재상장,주권,2016-02-05,,한국투자증권(주),통신 및 방송 장비 제조업,500,-,-,"7,080,273",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
제이에스코퍼레이션,핸드백 및 지갑,,194370,대한민국,신규상장,주권,2016-02-04,,엔에이치투자증권(주),"가죽, 가방 및 유사제품 제조업",100,"23,000","75,512,036","12,687,732",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
아이엠텍,"카메라모듈, 안테나 등",,226350,대한민국,신규상장,주권,2016-02-03,,미래에셋증권 주식회사,전자부품 제조업,500,"7,500","32,250,000","16,787,750",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
유니트론텍,"메모리, 비메모리반도체",,142210,대한민국,신규상장,주권,2016-02-02,,하나증권주식회사,자동차 부품 및 내장품 판매업,500,"14,000","9,170,000","3,310,650",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
크리스탈신소재,"합성운모플레이크, 합성운모파우더, 운모테이프",,900250,케이맨 제도,신규상장,외국주권,2016-01-28,,신한투자증권 주식회사,회사 본부 및 경영 컨설팅 서비스업,0.5,"3,000","27,900,000","61,622,771",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
한솔씨앤피,표면보호제,,221610,대한민국,신규상장,주권,2016-01-27,,"신한투자증권 주식회사,케이비투자증권(주)",기타 화학제품 제조업,500,"13,000","11,700,000","3,460,340",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
메디젠휴먼케어,M-CHECK (개인별 유전적 질병 예측 서비스),,236340,대한민국,신규상장,주권,2016-01-26,,아이비케이투자증권(주),자연과학 및 공학 연구개발업,500,-,-,"2,069,177",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
선바이오,생체고분자유도체,,067370,대한민국,신규상장,주권,2016-01-22,,하나증권(주),의약품 제조업,500,-,-,"7,650,940",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
볼빅,골프공,,206950,대한민국,신규상장,주권,2015-12-30,,한국투자증권(주),운동 및 경기용구 제조업,500,-,-,"4,000,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
