회사명,주요제품,비고,종목코드,국적,상장유형,증권구분,상장일,철회일,상장주선인/지정자문인,업종,액면가 (원),공모가 (원),공모금액 (천원),최초상장주식수 (주),유통가능주식수(주),유통비율,공모주식수,신주모집수량,구주매출수량,신주비중,구주비중,인수수수료,수수료율,수요예측 경쟁률,일반청약 경쟁률,기관투자자 참여건수,기관투자자 참여건수(국내),기관투자자 참여건수(해외),일반청약자 청약건수,의무보유 확약,청약증거금(백만원),수요예측일(시작),수요예측일(마감),청약일(시작),청약일(마감),납입일,희망공모가하단(원),희망공모가상단(원),결정 수준,주당평가가액(원),할인율(하단),할인율(상단),상장요건,평가등급(상위),평가등급(하위),가치평가방법,증권신고서 상 멀티플
~,,NEW_자동추가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성에피스홀딩스,지주회사,,0126Z0,대한민국,재상장,주권,2025-11-24,,엔에이치투자증권(주),기타 금융업,"2,500",-,-,"24,883,049",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
비엔케이제3호스팩,기업인수합병,,0068Y0,대한민국,신규상장,주권,2025-11-21,,(주)비엔케이투자증권,금융 지원 서비스업,100,"2,000","8,000,000","4,310,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
비츠로넥스텍,"로켓연소기 및 가스발생기, 초전도가속장치, 핵융합 플라즈마 대향장치 등 제조",,488900,대한민국,신규상장,주권,2025-11-21,,엔에이치투자증권(주),"항공기,우주선 및 부품 제조업",500,"6,900","30,360,000","28,976,443",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
씨엠티엑스,반도체 장비용 소모성 부품,,388210,대한민국,신규상장,주권,2025-11-20,,미래에셋증권 주식회사,전자부품 제조업,500,"60,500","60,500,000","9,272,688",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
아이엘커누스,IoT 스마트제어솔루션,,403810,대한민국,신규상장,주권,2025-11-18,,아이비케이투자증권(주),전자부품 제조업,100,-,-,"9,291,896",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
더핑크퐁컴퍼니,"콘텐츠, 라이선스, MD, 기타",,403850,대한민국,신규상장,주권,2025-11-18,,"미래에셋증권 주식회사,삼성증권(주)","영화, 비디오물, 방송프로그램 제작 및 배급업",100,"38,000","76,000,000","14,351,010",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
그린광학,초정밀 광학 시스템 및 광학 소재,,0015G0,대한민국,신규상장,주권,2025-11-17,,신영증권(주),사진장비 및 광학기기 제조업,500,"16,000","32,000,000","11,702,541",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
세나테크놀로지,"메시통신제품, 스마트 헬멧",,061090,대한민국,신규상장,주권,2025-11-14,,"신한투자증권 주식회사,KB증권(주)",통신 및 방송 장비 제조업,500,"56,800","31,808,000","5,577,274",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
큐리오시스,라이브셀 이미징 기기 등,,494120,대한민국,신규상장,주권,2025-11-13,,키움증권(주),사진장비 및 광학기기 제조업,500,"22,000","26,400,000","7,606,082",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
이노테크,복합 신뢰성 환경시험 장비,,469610,대한민국,신규상장,주권,2025-11-07,,KB증권(주),특수 목적용 기계 제조업,500,"14,700","25,872,000","8,876,900",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
노타,AI 최적화 및 경량화 소프트웨어,,486990,대한민국,신규상장,주권,2025-11-03,,미래에셋증권 주식회사,소프트웨어 개발 및 공급업,100,"9,100","26,535,600","21,161,880",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
명인제약,"신경정신계열, 구강계열 완제의약품",,317450,대한민국,신규상장,주권,2025-10-01,,KB증권(주),의약품 제조업,500,"58,000","197,200,000","14,600,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
삼성스팩11호,기업인수합병,,0071M0,대한민국,신규상장,주권,2025-09-30,,삼성증권(주),금융 지원 서비스업,100,"2,000","10,000,000","5,760,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
